"고유번호","구명","수목고유번호","구번호","동명","순번","수목명","흉고지름","수고","수관너비","위치","주변토지사용상태","품계흉고","품계활력","품계수형","품계수종","품계위치","관리등급","피해상태","학명","식생활력","품계등급","관리기관","X 좌표","Y 좌표"
"20002029","중구","2-장충동-큰-0288","02","장충동","288.00000000","벚나무","22.00000000","7.00000000","4.00000000","라임카운티","20","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Prunus yedoensis Matsumira.","2.00000000","36.00000000","공원녹지과","200594.615","200594.615"
"20002030","중구","2-을지로3,4,5동-큰-0013","02","을지로3,4,5동","13.00000000","백일홍","25.00000000","5.00000000","6.00000000","주교동 우래옥","30","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Albizzia julibrissin Duraz.","2.00000000","34.00000000","공원녹지과","199898.694","199898.694"
"20002033","중구","2-장충동-큰-0128","02","장충동","128.00000000","느티나무","20.00000000","7.00000000","4.00000000","동국대학교","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","200192.361","200192.3608"
"20002034","중구","2-소공동-큰-0217","02","소공동","217.00000000","느티나무","27.00000000","25.00000000","12.00000000","덕수궁","50","5.00000000","10.00000000","6.00000000","6","6","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","33.00000000","공원녹지과","197815.769","197815.7692"
"20002035","중구","2-광희동-큰-0055","02","광희동","55.00000000","벽오동나무","25.00000000","7.00000000","6.00000000","국립의료원","60","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Firmiana simplex W.F.Wight.","2.00000000","34.00000000","공원녹지과","200429.162","200429.1622"
"20002036","중구","2-충무로4,5동-큰-0119","02","충무로4,5동","119.00000000","가중나무","60.00000000","13.00000000","8.00000000","덕수중학교","60","15.00000000","10.00000000","6.00000000","4","9","2.00000000","1.00000000","Ailanthus altissima Swingle.","2.00000000","44.00000000","공원녹지과","199704.263","199704.263"
"20002008","중구","2-소공동-큰-0101","02","소공동","101.00000000","은행나무","32.00000000","32.00000000","5.00000000","이화여고","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Ginkgo biloba L.","2.00000000","36.00000000","공원녹지과","197214.283","197214.2825"
"20002020","중구","2-소공동-큰-0178","02","소공동","178.00000000","느티나무","30.00000000","15.00000000","9.00000000","체스프라자","60","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","197564.812","197564.8116"
"20002032","중구","2-남대문로5가동-큰-0009","02","남대문로5가동","9.00000000","은행나무","45.00000000","39.00000000","11.00000000","서울열차사무소","60","10.00000000","10.00000000","6.00000000","6","9","2.00000000","1.00000000","Ginkgo biloba L.","2.00000000","41.00000000","공원녹지과","197341.033","197341.0332"
"20001104","중구","2-소공동-큰-0301","02","소공동","301.00000000","아카시아나무","40.00000000","35.00000000","15.00000000","","10","5.00000000","10.00000000","6.00000000","4","9","3.00000000","1.00000000","Robinia pseudacacia L.","2.00000000","34.00000000","공원녹지과","197572.293","197572.2929"
"20001102","중구","2-필동-큰-0031","02","필동","31.00000000","느티나무","30.00000000","22.00000000","9.00000000","한국의집","30","5.00000000","10.00000000","6.00000000","6","9","3.00000000","1.00000000","Zelkova serrata Makino","2.00000000","36.00000000","공원녹지과","199507.432","199507.4315"
